"account_number","agent_id","source_ip","source_port","destination_ip","destination_port","ip_version","transport_protocol","agent_assigned_process_id","agent_creation_date","timestamp"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 12:43:45.150","2021-07-03 13:03:07.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 01:16:22.754","2021-07-04 01:38:04.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 16:14:31.481","2021-07-03 16:39:16.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 16:29:35.194","2021-07-03 16:51:53.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 18:14:58.334","2021-07-03 18:38:58.000"
"123456789012","o-6cif0wg3evk5xiw5o","81.161.63.253",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 04:18:02.517","2021-07-04 04:34:28.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 04:16:59.416","2021-07-04 04:35:42.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 04:32:02.674","2021-07-04 04:48:21.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 02:46:40.176","2021-07-04 03:04:42.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 05:02:08.842","2021-07-04 05:26:11.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 05:17:11.544","2021-07-04 05:36:17.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 12:13:38.573","2021-07-03 12:32:07.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 00:16:11.602","2021-07-04 00:32:24.000"
"123456789012","o-6cif0wg3evk5xiw5o","199.19.224.147",,"10.146.0.33","22","IPv4","TCP","2C19AC10EFA233551E85447AF794F24E8FA9545A","2021-07-04 00:17:15.340","2021-07-04 00:38:28.000"
"123456789012","o-6cif0wg3evk5xiw5o","87.241.1.186",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 06:48:32.212","2021-07-04 07:12:42.000"
"123456789012","o-6cif0wg3evk5xiw5o","87.241.1.186",,"10.146.0.33","22","IPv4","TCP","78141C5D11FADDE6159D197454F6ADA287BFE9D2","2021-07-04 06:48:32.212","2021-07-04 07:12:42.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 03:31:51.409","2021-07-04 03:52:50.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 03:46:53.967","2021-07-04 04:02:56.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 14:29:09.130","2021-07-03 14:47:54.000"
"123456789012","o-6cif0wg3evk5xiw5o","143.110.184.88",,"10.146.0.33","22","IPv4","TCP","78141C5D11FADDE6159D197454F6ADA287BFE9D2","2021-07-04 08:18:49.621","2021-07-04 08:42:21.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 00:46:17.166","2021-07-04 01:10:16.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 01:01:20.140","2021-07-04 01:22:55.000"
"123456789012","o-6cif0wg3evk5xiw5o","192.241.215.98",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 00:32:18.129","2021-07-04 00:53:38.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 00:31:14.332","2021-07-04 01:00:10.000"
"123456789012","o-6cif0wg3evk5xiw5o","141.98.10.203",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 03:47:56.396","2021-07-04 04:14:17.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 04:01:56.802","2021-07-04 04:20:36.000"
"123456789012","o-6cif0wg3evk5xiw5o","162.142.125.37",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 04:02:59.556","2021-07-04 04:24:23.000"
"123456789012","o-6cif0wg3evk5xiw5o","62.67.10.33",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 04:02:59.556","2021-07-04 04:24:23.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 00:01:08.246","2021-07-04 00:17:13.000"
"123456789012","o-6cif0wg3evk5xiw5o","167.71.58.244",,"10.146.0.33","22","IPv4","TCP","2C19AC10EFA233551E85447AF794F24E8FA9545A","2021-07-04 00:02:12.305","2021-07-04 00:23:21.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 19:45:15.283","2021-07-03 20:12:24.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 20:00:17.969","2021-07-03 20:19:59.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 21:30:36.398","2021-07-03 21:48:21.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 17:44:53.089","2021-07-03 18:08:40.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 17:59:56.040","2021-07-03 18:18:47.000"
"123456789012","o-6cif0wg3evk5xiw5o","192.241.213.226",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 07:33:40.821","2021-07-04 07:50:37.000"
"123456789012","o-6cif0wg3evk5xiw5o","125.64.94.144",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 07:33:40.821","2021-07-04 07:50:37.000"
"123456789012","o-6cif0wg3evk5xiw5o","212.129.5.157",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 07:33:40.821","2021-07-04 07:50:37.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 12:58:47.582","2021-07-03 13:16:12.000"
"123456789012","o-6cif0wg3evk5xiw5o","183.240.197.27",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 07:03:35.119","2021-07-04 07:32:56.000"
"123456789012","o-6cif0wg3evk5xiw5o","87.241.1.186",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 07:03:35.119","2021-07-04 07:32:56.000"
