"account_number","agent_id","os_name","os_version","cpu_type","host_name","hypervisor","timestamp"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 18:59:10.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 19:03:32.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 04:26:56.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 04:34:25.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-04 04:34:28.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-04 04:35:42.000"
"123456789012","o-1a04oo4gdhip87lzm","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","win-vm-ops","Microsoft Corporation","2021-07-04 04:35:42.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-04 04:37:55.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 12:01:48.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 12:03:30.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 12:10:45.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-04 08:18:22.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-04 08:19:50.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-04 08:24:40.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 08:30:33.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 07:47:40.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-04 07:48:39.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-04 07:50:37.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-04 07:50:37.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 07:59:03.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 08:00:16.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 06:42:02.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 06:45:48.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-04 06:47:29.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-04 06:49:29.000"
"123456789012","o-1a04oo4gdhip87lzm","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","win-vm-ops","Microsoft Corporation","2021-07-04 06:52:00.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-04 06:53:05.000"
"123456789012","o-1a04oo4gdhip87lzm","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","win-vm-ops","Microsoft Corporation","2021-07-03 23:31:47.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 23:32:17.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 23:37:01.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-03 23:39:06.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 23:39:03.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 23:41:52.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 23:44:35.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 23:45:26.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 04:42:06.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-04 04:48:01.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-04 04:48:21.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 04:49:33.000"
"123456789012","o-1a04oo4gdhip87lzm","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","win-vm-ops","Microsoft Corporation","2021-07-04 04:53:25.000"
"123456789012","o-39iqezsdkbdt5j7kf","Linux - 2.0.0.0 - Amazon Linux release 2 (Karoo) x86_64 (Linux 4.14.232-177.418.amzn2.x86_64)","2.0.0.0","x86_64","ip-172-31-73-78.ap-northeast-1.compute.internal","xen","2021-07-03 20:31:05.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 20:32:35.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 20:35:42.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-03 20:42:35.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-03 20:44:48.000"
"123456789012","o-25zxbz550dvex7b59","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","db-server","kvm","2021-07-03 20:45:14.000"
"123456789012","o-1zafso4q4q212rf51","WindowsOS - 10.0.0.17763 - Windows 2019 Datacenter x64","10.0.0.17763","x64","ec2amaz-nfqk9dd","Amazon EC2","2021-07-04 09:05:27.000"
"123456789012","o-6cif0wg3evk5xiw5o","Linux - 8.0.0.0 - CentOS Stream release 8 x86_64 (Linux 4.18.0-310.el8.x86_64)","8.0.0.0","x86_64","minecraft2","kvm","2021-07-04 09:08:21.000"
"123456789012","o-6dn3k0ihqcrrtg07f","Linux - 20.4.0.0 - Ubuntu 20.04.2 LTS x86_64 (Linux 5.4.0-77-generic)","20.4.0.0","x86_64","ap-server","kvm","2021-07-04 09:14:03.000"
